,Unnamed: 0,time,Date,sym,bid price(open),bid price(high),bid price(low),Bid Price,ask price(open),ask price(high),ask price(low),Ask Price,RSI_ask_4,RSI_ask_4_shift,RSI_bid_4,RSI_bid_4_shift,ATR,Hour
14,14,2020-01-06 05:29:56.889380+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2286.5426,2276,2292,2254,2288.4576,99.14020433310387,99.14020433310387,99.58776647447038,99.50121842450095,133.0,5
15,15,2020-01-06 05:39:58.330627+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2286.5426,2276,2292,2254,2288.4576,99.14020433310387,99.14020433310387,99.58776647447038,99.58776647447038,133.0,5
16,16,2020-01-06 05:49:59.427890+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2289.542,2276,2292,2254,2291.4582,99.5624648666639,99.14020433310387,99.78590102179476,99.58776647447038,133.0,5
17,17,2020-01-06 05:59:59.882315+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2281.5436,2276,2292,2254,2284.4568,39.38512476755377,99.5624648666639,36.835904754294106,99.78590102179476,133.0,5
18,18,2020-01-06 06:00:00.082343+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2280.5438,2276,2292,2254,2284.4568,39.38512476755377,39.38512476755377,33.331384103239714,36.835904754294106,133.0,6
19,19,2020-01-07 00:09:56.970589+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2334.533,2300,2406,2299,2337.4674,93.36502314627084,39.38512476755377,91.50716915758119,33.331384103239714,153.88580000000002,0
20,20,2020-01-07 00:19:59.977908+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2339.532,2300,2406,2299,2342.4684,94.03338787737248,93.36502314627084,92.33312044679428,91.50716915758119,171.13580000000002,0
21,21,2020-01-07 00:29:59.926600+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2350.5298,2300,2406,2299,2352.4704,95.29677994029907,94.03338787737248,94.03483233798221,92.33312044679428,188.38580000000002,0
22,22,2020-01-07 00:39:55.997046+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2360.5278,2300,2406,2299,2362.4724,96.33227092598968,95.29677994029907,95.2994566042158,94.03483233798221,205.63580000000002,0
23,23,2020-01-07 00:49:56.398634+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2358.5282,2300,2406,2299,2360.472,90.9901451005719,96.33227092598968,90.20010862720727,95.2994566042158,222.88580000000002,0
